part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
No,10,Yes,6,Teacher,31,98,94,0,63,69,60
No,18,No,16,Artist,28,20,86,57,74,18,30
No,22,Yes,10,Artist,85,96,18,39,8,99,68
No,29,No,23,Artist,54,17,79,14,80,1,3
No,19,Yes,15,Engineer,95,40,95,72,2,39,48
No,10,No,21,Entrepreneur,90,16,64,61,66,47,12
Yes,29,Yes,6,Teacher,81,31,45,89,81,28,41
No,4,No,14,Artist,60,45,58,13,50,2,64
No,20,Yes,10,Doctor,45,13,77,59,65,0,79
No,17,Yes,21,Artist,21,17,87,80,75,31,41
Yes,4,No,30,Entrepreneur,92,98,19,83,60,34,67
No,23,No,19,Engineer,13,26,23,47,41,54,94
Yes,3,No,15,Entrepreneur,40,5,8,92,82,45,55
No,18,No,5,Entrepreneur,3,65,38,25,8,91,7
Yes,13,Yes,18,Doctor,98,57,78,62,56,47,32
No,27,Yes,6,Entrepreneur,18,88,5,5,14,78,35
No,19,Yes,1,Doctor,98,94,22,95,93,62,95
Yes,12,Yes,10,Artist,34,40,4,81,76,12,98
Yes,7,Yes,23,Doctor,46,53,60,83,44,9,55
Yes,8,Yes,7,Entrepreneur,53,63,57,86,96,75,77
Yes,25,No,23,Doctor,13,5,45,64,5,52,71
No,11,Yes,27,Engineer,35,52,87,64,27,12,46
Yes,5,No,16,Teacher,65,72,53,61,21,17,40
No,10,Yes,6,Artist,51,21,58,27,76,43,4
Yes,17,Yes,19,Entrepreneur,22,64,64,23,97,26,69
No,24,Yes,25,Doctor,34,31,11,93,62,96,36
Yes,3,Yes,5,Engineer,53,94,13,64,42,40,47
No,21,Yes,29,Teacher,95,77,81,53,15,98,13
Yes,5,Yes,24,Doctor,79,4,35,77,88,12,36
Yes,25,No,26,Artist,94,21,29,82,55,49,21
No,0,Yes,25,Entrepreneur,90,67,1,22,75,53,35
No,6,No,27,Engineer,0,91,49,50,3,64,98
Yes,11,No,3,Entrepreneur,27,61,47,59,36,0,11
Yes,6,Yes,7,Engineer,60,13,100,19,99,82,23
No,16,No,7,Artist,11,1,86,66,2,73,55
No,8,Yes,2,Teacher,50,36,39,70,96,58,63
Yes,30,No,27,Artist,3,92,65,26,54,52,0
Yes,0,Yes,29,Engineer,29,22,38,88,8,28,58
Yes,11,No,2,Teacher,71,39,92,33,35,83,67
No,4,Yes,9,Entrepreneur,90,59,56,91,66,86,9
Yes,17,Yes,9,Doctor,16,73,66,83,67,27,36
Yes,2,Yes,10,Entrepreneur,32,92,22,74,98,19,41
Yes,12,No,8,Entrepreneur,89,85,52,3,14,61,53
No,29,Yes,21,Entrepreneur,97,63,100,15,90,10,49
Yes,25,Yes,4,Doctor,33,25,36,4,47,18,21
Yes,16,Yes,3,Engineer,19,41,26,85,30,78,65
No,13,No,4,Doctor,91,52,78,76,93,81,41
Yes,13,Yes,2,Doctor,11,2,55,43,10,30,90
No,10,Yes,13,Engineer,72,92,18,49,12,38,94
No,18,Yes,29,Doctor,88,45,22,32,29,74,48
No,7,No,15,Entrepreneur,83,16,34,82,19,73,87
No,5,Yes,6,Engineer,96,84,4,21,92,96,47
Yes,23,No,21,Artist,12,11,85,91,15,42,94
Yes,29,Yes,12,Engineer,1,25,11,4,22,26,22
No,9,Yes,7,Teacher,12,83,45,59,85,45,5
No,5,No,0,Artist,58,89,67,7,14,46,24
Yes,5,No,7,Doctor,64,91,98,0,44,69,4
Yes,12,No,12,Teacher,84,97,42,54,56,96,59
No,5,Yes,14,Entrepreneur,6,81,2,79,58,77,54
No,3,Yes,18,Artist,58,35,44,46,64,1,100
No,22,Yes,9,Doctor,57,31,13,90,31,28,36
Yes,22,No,2,Entrepreneur,85,33,34,59,26,68,14
Yes,14,No,7,Doctor,12,88,18,2,37,31,10
Yes,11,Yes,2,Doctor,16,67,1,3,47,30,64
No,4,No,9,Artist,15,82,15,84,44,8,10
No,0,No,22,Teacher,68,37,2,57,4,99,34
No,13,No,20,Artist,41,79,20,56,0,39,45
Yes,25,Yes,17,Teacher,56,81,54,86,32,86,53
No,21,Yes,11,Artist,75,0,53,88,30,30,84
Yes,30,No,20,Doctor,91,97,3,46,34,92,4
No,17,No,28,Teacher,99,83,98,3,31,5,41
No,18,Yes,13,Entrepreneur,57,24,14,66,30,35,3
Yes,19,No,7,Artist,55,6,3,44,34,34,1
No,10,No,9,Doctor,7,24,12,87,96,82,24
Yes,5,Yes,20,Engineer,47,68,98,100,45,46,33
Yes,12,No,12,Teacher,52,71,59,53,60,88,87
No,24,No,17,Engineer,61,97,44,25,28,95,33
Yes,9,No,27,Entrepreneur,36,53,82,65,75,94,20
Yes,27,No,14,Artist,53,11,41,7,1,37,68
No,30,Yes,27,Teacher,40,11,86,18,65,99,53
Yes,2,No,16,Artist,83,56,33,0,37,85,77
Yes,13,No,12,Entrepreneur,11,38,68,15,97,75,55
No,23,No,21,Doctor,22,28,24,90,62,53,45
No,26,No,9,Engineer,22,36,86,81,46,43,66
Yes,10,No,2,Engineer,82,22,80,43,47,36,33
Yes,6,Yes,28,Doctor,34,72,55,47,43,26,50
No,4,Yes,9,Artist,62,28,91,29,36,27,25
No,4,No,8,Engineer,20,16,99,63,28,6,51
Yes,26,Yes,21,Doctor,4,20,1,47,49,23,76
No,19,Yes,11,Doctor,24,37,78,88,65,94,77
No,18,No,3,Artist,97,48,38,53,35,71,74
Yes,15,Yes,9,Teacher,14,86,93,88,88,15,22
No,19,Yes,6,Engineer,83,15,61,49,44,89,62
No,0,Yes,14,Engineer,18,60,27,28,52,67,88
Yes,28,Yes,14,Artist,83,22,69,81,55,62,55
No,25,No,8,Engineer,9,71,93,84,17,82,75
Yes,18,No,10,Entrepreneur,30,72,16,9,67,70,18
Yes,9,No,4,Entrepreneur,71,75,51,82,85,86,77
No,7,Yes,25,Entrepreneur,66,92,57,46,41,46,70
Yes,22,No,6,Engineer,8,39,17,6,91,18,19
Yes,24,Yes,14,Entrepreneur,12,74,79,71,80,92,74
No,1,No,0,Artist,67,98,63,30,49,57,63
Yes,29,Yes,11,Engineer,56,40,79,0,27,28,100
No,17,Yes,26,Teacher,91,27,51,98,69,68,38
Yes,24,Yes,7,Artist,67,63,49,75,10,79,4
No,17,Yes,7,Artist,95,61,64,94,49,48,53
Yes,2,Yes,17,Teacher,81,73,48,89,67,42,35
Yes,6,Yes,15,Teacher,85,59,3,77,77,58,11
Yes,16,No,22,Artist,50,26,4,98,95,83,67
No,15,Yes,2,Teacher,51,28,86,93,31,40,3
Yes,8,Yes,25,Doctor,69,78,16,79,69,92,60
Yes,8,Yes,22,Teacher,53,67,78,11,31,27,42
No,18,Yes,26,Teacher,9,70,28,46,29,73,11
Yes,23,No,5,Doctor,47,39,61,100,38,36,9
Yes,20,Yes,21,Entrepreneur,2,75,45,27,37,85,77
No,25,Yes,21,Teacher,62,18,6,78,13,41,57
No,3,No,26,Teacher,67,53,52,19,47,64,62
No,23,Yes,16,Engineer,46,81,52,78,90,54,90
Yes,19,Yes,4,Artist,57,52,42,70,55,16,97
No,17,Yes,1,Doctor,5,40,68,60,47,2,84
No,10,No,24,Doctor,2,90,31,18,74,82,44
No,14,No,19,Entrepreneur,82,17,96,31,24,39,52
No,25,No,30,Engineer,48,67,96,23,9,46,68
No,0,Yes,15,Artist,66,6,47,24,89,88,28
No,5,Yes,18,Engineer,44,63,87,54,74,17,80
Yes,27,Yes,3,Teacher,88,89,70,64,86,67,28
Yes,2,Yes,23,Doctor,80,78,96,81,41,24,89
No,21,No,30,Artist,47,87,4,34,31,70,99
Yes,13,No,30,Artist,29,100,44,24,30,99,27
Yes,21,Yes,14,Teacher,10,74,30,78,76,68,31
Yes,30,No,19,Entrepreneur,44,8,31,60,39,29,39
No,15,No,20,Entrepreneur,81,16,73,19,11,69,89
No,28,Yes,3,Entrepreneur,83,44,66,4,40,28,59
No,8,Yes,14,Engineer,24,65,84,20,16,24,97
No,11,No,28,Engineer,52,21,74,79,6,26,38
Yes,6,Yes,11,Entrepreneur,25,48,89,93,31,41,51
No,17,Yes,25,Teacher,9,43,33,30,35,9,54
Yes,14,Yes,25,Engineer,32,97,66,80,8,62,44
Yes,0,No,30,Engineer,12,57,26,63,6,94,1
Yes,5,No,23,Entrepreneur,60,52,57,62,84,63,2
No,16,No,5,Entrepreneur,24,87,11,1,36,45,42
No,15,Yes,14,Doctor,33,90,87,43,0,12,18
No,19,Yes,4,Entrepreneur,70,51,23,9,35,84,29
No,15,No,16,Artist,92,46,44,65,57,19,42
No,16,No,5,Artist,26,69,79,17,59,94,98
Yes,3,Yes,29,Teacher,2,49,31,0,41,53,46
Yes,3,No,17,Doctor,87,80,19,13,22,89,28
Yes,25,No,30,Doctor,96,20,38,40,83,95,68
Yes,11,No,16,Entrepreneur,92,5,99,76,86,90,61
No,29,No,4,Artist,90,68,37,40,56,89,27
No,30,Yes,5,Teacher,80,81,83,30,57,30,37
No,19,No,28,Entrepreneur,31,87,93,70,16,45,8
Yes,13,No,4,Artist,14,17,45,32,23,59,37
No,28,Yes,28,Teacher,41,57,96,77,25,69,9
No,8,No,10,Doctor,81,56,24,62,47,33,68
Yes,14,Yes,6,Artist,17,98,67,28,11,77,79
Yes,22,No,16,Teacher,37,45,87,75,8,4,58
No,14,No,1,Entrepreneur,3,89,0,68,46,100,47
Yes,6,No,25,Teacher,51,17,51,8,93,56,82
No,8,No,15,Doctor,34,55,17,6,89,93,54
Yes,25,No,17,Teacher,40,67,40,41,4,54,53
Yes,30,Yes,24,Doctor,59,87,29,37,60,46,6
Yes,25,No,1,Entrepreneur,27,82,22,63,63,72,18
Yes,22,Yes,12,Doctor,32,86,83,40,52,8,6
Yes,0,Yes,28,Entrepreneur,89,24,66,81,47,3,92
No,18,No,16,Teacher,61,61,54,81,82,19,77
No,4,No,18,Engineer,43,48,30,46,77,78,82
Yes,20,No,0,Artist,55,71,6,5,4,71,56
No,21,Yes,26,Engineer,31,17,61,55,50,35,7
No,12,Yes,27,Artist,56,49,29,9,90,43,27
No,23,Yes,0,Engineer,53,38,5,68,23,60,30
Yes,6,No,11,Artist,95,99,27,9,2,30,72
Yes,0,No,9,Doctor,31,29,20,91,45,11,27
No,19,No,16,Engineer,88,41,64,64,65,87,97
No,16,No,4,Entrepreneur,31,70,74,61,69,63,56
No,14,No,21,Artist,78,32,13,59,90,48,54
Yes,11,No,1,Entrepreneur,50,28,48,71,53,62,97
Yes,27,No,16,Engineer,89,63,81,70,54,30,79
No,6,No,11,Teacher,2,97,32,51,86,89,14
No,13,Yes,17,Entrepreneur,21,84,55,41,46,8,34
No,9,Yes,16,Doctor,0,98,97,89,94,3,53
No,13,Yes,25,Engineer,94,4,45,45,56,13,24
Yes,19,Yes,13,Engineer,62,57,22,58,24,94,91
Yes,24,No,10,Entrepreneur,45,82,40,100,39,1,51
Yes,17,No,0,Engineer,18,19,70,39,22,47,39
Yes,2,No,6,Doctor,66,91,35,92,75,69,76
No,26,Yes,7,Artist,100,58,94,94,61,82,24
No,3,No,26,Doctor,14,2,89,66,29,70,36
No,6,Yes,28,Engineer,97,43,52,15,95,1,88
Yes,2,No,6,Teacher,80,69,19,37,13,74,45
No,8,Yes,10,Engineer,20,62,66,73,63,89,84
Yes,9,No,15,Entrepreneur,78,78,10,80,30,34,49
No,22,Yes,11,Engineer,0,62,21,82,86,81,97
No,22,Yes,22,Teacher,42,57,0,45,53,39,66
Yes,23,Yes,4,Artist,40,9,52,92,68,1,30
Yes,26,Yes,26,Engineer,4,28,11,42,83,53,22
Yes,25,No,17,Engineer,11,89,84,86,32,46,24
No,18,Yes,30,Teacher,17,100,77,79,85,91,68
No,15,No,12,Teacher,22,69,76,48,12,63,65
No,29,No,6,Doctor,4,61,98,40,0,12,13
No,6,Yes,21,Artist,34,53,82,35,18,90,42
Yes,25,Yes,8,Engineer,69,29,70,67,2,16,85
No,26,Yes,3,Entrepreneur,25,24,30,76,93,93,62
Yes,22,No,18,Teacher,43,49,64,90,48,18,75
Yes,28,Yes,20,Doctor,41,84,28,68,6,67,96
No,28,Yes,0,Engineer,89,66,88,88,72,25,43
No,12,No,13,Doctor,80,17,94,36,14,56,1
Yes,9,Yes,28,Doctor,81,51,10,12,66,98,17
No,28,No,11,Artist,41,94,14,54,93,76,78
Yes,5,No,25,Doctor,23,64,10,94,55,63,13
No,19,No,20,Engineer,1,82,41,67,51,59,81
Yes,12,Yes,2,Artist,50,60,40,23,45,86,45
Yes,18,No,17,Doctor,86,77,28,90,94,32,23
No,27,No,30,Doctor,4,78,40,52,24,52,19
Yes,16,Yes,2,Artist,12,32,61,53,75,2,68
No,0,Yes,21,Doctor,25,67,37,100,29,80,83
No,16,No,25,Artist,98,87,70,26,42,94,3
Yes,26,No,13,Entrepreneur,92,7,67,96,54,53,21
Yes,11,No,4,Artist,58,61,83,71,94,50,75
No,27,Yes,25,Teacher,33,65,79,91,71,44,67
Yes,5,No,22,Entrepreneur,71,57,44,86,15,28,2
No,20,Yes,25,Doctor,86,27,89,2,80,64,95
Yes,7,Yes,10,Entrepreneur,93,79,28,68,5,28,72
Yes,17,Yes,7,Entrepreneur,20,57,95,55,54,56,15
Yes,14,Yes,8,Engineer,49,74,24,0,83,0,69
Yes,12,No,15,Artist,7,10,97,76,26,67,11
No,27,Yes,23,Artist,6,15,12,61,19,39,57
Yes,13,Yes,7,Artist,12,54,56,17,14,88,60
Yes,29,Yes,21,Engineer,99,35,81,96,79,0,13
Yes,25,Yes,24,Entrepreneur,71,23,5,99,30,47,32
Yes,20,Yes,7,Artist,93,51,33,47,32,34,47
Yes,19,No,5,Engineer,13,65,13,44,5,9,35
Yes,7,Yes,18,Entrepreneur,7,14,21,39,29,49,71
No,22,No,4,Doctor,63,16,30,100,90,71,56
Yes,18,No,6,Entrepreneur,96,81,30,4,29,65,85
No,21,Yes,10,Doctor,96,10,25,74,59,41,7
No,17,Yes,28,Doctor,53,24,29,93,100,30,2
Yes,21,Yes,11,Teacher,50,56,22,22,52,54,43
No,22,No,4,Entrepreneur,53,52,7,40,98,39,17
Yes,12,No,22,Doctor,37,90,6,92,61,16,5
No,25,No,27,Teacher,97,22,11,8,47,46,41
Yes,9,Yes,11,Artist,58,92,15,58,24,32,16
Yes,13,No,0,Artist,2,77,74,84,58,98,63
No,0,No,30,Entrepreneur,93,91,8,29,39,4,57
Yes,13,Yes,17,Engineer,9,74,100,27,87,18,4
No,21,No,18,Doctor,9,73,41,50,24,68,84
Yes,18,No,29,Entrepreneur,83,88,82,55,38,21,8
No,28,No,19,Artist,9,43,14,95,16,11,45
No,3,Yes,15,Artist,81,66,100,50,47,56,24
Yes,13,Yes,23,Artist,21,75,68,9,65,82,19
Yes,24,Yes,27,Engineer,78,26,46,8,65,16,59
No,10,Yes,10,Engineer,40,35,15,17,4,66,1
No,12,Yes,3,Doctor,79,67,51,23,81,84,60
No,22,No,1,Teacher,80,22,12,30,41,33,40
No,21,No,23,Engineer,68,99,50,83,74,12,14
No,18,No,5,Artist,83,25,40,100,50,57,44
Yes,26,No,13,Engineer,20,100,47,68,81,79,77
No,19,Yes,24,Entrepreneur,96,3,28,62,99,5,83
No,16,No,1,Entrepreneur,100,73,70,4,75,47,8
Yes,17,Yes,11,Entrepreneur,24,60,50,59,98,60,70
No,6,No,14,Teacher,78,27,58,71,73,38,28
Yes,3,Yes,3,Engineer,78,56,48,69,17,72,57
No,6,No,25,Artist,34,84,22,1,87,59,58
Yes,16,Yes,26,Artist,24,5,24,58,27,57,83
Yes,6,No,14,Artist,63,53,75,33,27,44,14
No,3,No,10,Doctor,3,62,60,25,3,2,49
No,27,No,11,Teacher,3,20,46,68,96,21,1
Yes,16,Yes,13,Entrepreneur,32,66,6,94,37,52,67
Yes,19,No,10,Entrepreneur,83,58,63,33,42,33,44
Yes,28,Yes,22,Doctor,40,75,99,49,57,66,12
Yes,7,No,26,Teacher,59,68,26,24,65,89,94
No,16,Yes,17,Teacher,87,55,65,41,51,49,40
Yes,29,No,21,Artist,13,14,8,46,32,26,82
No,1,No,20,Doctor,5,94,85,31,37,4,88
Yes,21,No,14,Engineer,69,23,47,83,93,71,25
Yes,5,Yes,11,Entrepreneur,88,89,51,63,74,52,92
No,15,Yes,25,Entrepreneur,16,15,82,21,8,66,79
Yes,18,No,25,Teacher,36,3,34,66,21,28,82
Yes,29,Yes,21,Doctor,55,50,98,26,91,2,33
No,2,No,13,Artist,66,43,39,11,34,91,88
No,3,No,17,Artist,67,5,60,60,51,57,4
Yes,2,No,30,Doctor,70,71,68,42,97,13,5
No,10,Yes,11,Doctor,43,24,6,12,44,38,61
Yes,0,No,26,Artist,67,36,33,75,73,38,91
Yes,3,Yes,24,Teacher,9,69,3,14,36,19,95
Yes,18,No,22,Entrepreneur,44,19,81,12,40,42,78
Yes,9,No,8,Teacher,82,55,67,34,65,27,95
No,27,Yes,17,Teacher,42,39,24,74,81,7,49
Yes,28,Yes,7,Entrepreneur,46,4,100,23,6,9,77
No,11,Yes,11,Engineer,59,34,82,1,7,42,87
Yes,29,Yes,27,Teacher,70,93,67,44,46,81,45
No,19,No,29,Engineer,84,31,95,51,98,28,54
No,8,No,20,Entrepreneur,63,71,52,10,1,100,95
No,3,Yes,12,Engineer,74,39,76,59,89,35,53
No,29,Yes,14,Engineer,62,11,73,64,25,0,20
No,28,No,13,Teacher,10,9,45,63,44,86,47
No,23,Yes,20,Entrepreneur,20,63,43,44,67,60,3
No,30,Yes,20,Entrepreneur,16,98,99,32,25,79,71
No,9,No,22,Teacher,11,91,85,46,0,91,90
No,29,No,10,Doctor,40,19,8,72,20,61,100
No,13,Yes,7,Artist,3,41,68,17,37,14,90
Yes,9,No,7,Doctor,88,44,3,88,20,60,2
Yes,2,Yes,24,Teacher,97,51,64,33,26,66,64
No,5,Yes,20,Teacher,89,37,63,51,56,45,23
No,15,Yes,19,Doctor,97,44,7,36,72,97,58
Yes,10,No,2,Entrepreneur,3,28,27,93,93,60,25
Yes,20,Yes,7,Doctor,51,37,0,66,50,93,13
No,7,Yes,14,Entrepreneur,14,69,61,87,97,37,41
Yes,23,Yes,6,Doctor,89,7,32,2,16,23,100
No,6,No,5,Teacher,10,94,37,92,81,95,28
No,30,Yes,14,Teacher,89,23,84,94,22,23,17
No,11,No,19,Artist,27,40,31,52,2,22,3
Yes,4,Yes,3,Entrepreneur,6,62,58,99,73,33,17
Yes,24,No,7,Artist,0,38,37,12,41,83,7
No,4,Yes,25,Engineer,20,14,30,52,46,53,44
No,1,No,7,Entrepreneur,28,14,14,53,67,79,43
Yes,10,No,11,Doctor,12,29,75,56,81,96,65
Yes,15,Yes,14,Teacher,64,74,64,46,39,52,28
Yes,23,Yes,0,Entrepreneur,39,78,45,65,18,58,30
Yes,25,Yes,23,Engineer,4,95,97,58,32,53,72
No,29,Yes,23,Teacher,43,77,26,11,84,6,61
No,5,No,11,Entrepreneur,33,94,98,44,22,94,24
Yes,26,No,12,Artist,32,65,2,20,69,23,31
No,5,Yes,21,Engineer,79,100,42,4,26,5,2
No,18,Yes,19,Artist,98,30,44,80,82,18,34
